Date,VTI US Equity,TLT US Equity,IEI US Equity,DBC US Equity,GLD US Equity
11/28/2018,140.6,114.45,119.46,15.26,115.38
11/27/2018,137.4,115.01,119.4,15.31,114.95
11/26/2018,137.23,114.88,119.36,15.37,115.64
11/23/2018,135.13,115.14,119.43,15.3,115.77
11/21/2018,135.86,115.02,119.37,15.76,115.86
11/20/2018,135.2,115.06,119.42,15.63,115.67
11/19/2018,137.65,115.02,119.47,16.12,115.67
11/16/2018,140.08,114.7,119.34,16.12,115.62
11/15/2018,139.78,114.04,119.1,16.02,114.77
11/14/2018,138.22,114.09,119.01,16.05,114.64
11/13/2018,139.24,114.02,118.8,15.91,113.7
11/12/2018,139.44,114.09,118.74,16.36,113.66
11/9/2018,142.17,113.35,118.5,16.4,114.48
11/8/2018,143.64,112.51,118.21,16.58,115.78
11/7/2018,143.92,112.52,118.35,16.68,116.03
11/6/2018,141.04,112.37,118.41,16.72,116.04
11/5/2018,140.24,112.44,118.51,16.79,116.37
11/2/2018,139.56,112,118.47,16.8,116.65
11/1/2018,140.13,113.41,118.83,16.84,116.63
10/31/2018,138.56,113.58,118.94,16.96,115.15
10/30/2018,137.13,114.16,119.1,17.19,115.8
10/29/2018,135.02,114.73,119.27,17.28,116.31
10/26/2018,135.77,114.99,119.28,17.46,116.77
10/25/2018,138.16,114.3,118.91,17.33,116.4
10/24/2018,135.61,114.78,119.11,17.26,116.66
10/23/2018,139.96,113.92,118.7,17.38,116.39
10/22/2018,140.79,113.56,118.5,17.77,115.71
10/19/2018,141.35,113.71,118.51,17.75,116.01
10/18/2018,141.72,113.96,118.59,17.65,115.92
10/17/2018,143.8,114,118.43,17.85,115.79
10/16/2018,143.84,114.68,118.63,18.01,115.8
10/15/2018,140.74,114.42,118.63,17.93,116
10/12/2018,141.37,114.47,118.6,17.89,115.23
10/11/2018,139.53,114.87,118.67,17.75,115.78
10/10/2018,142.57,113.49,118.47,18.02,112.88
10/9/2018,147.26,113.8,118.37,18.38,112.6
10/8/2018,147.52,112.66,118.31,18.25,112.54
10/5/2018,147.63,113.04,118.26,18.3,113.8
10/4/2018,148.59,114.02,118.37,18.34,113.48
10/3/2018,149.86,114.83,118.49,18.54,113.42
10/2/2018,149.66,116.86,118.9,18.37,113.87
10/1/2018,149.88,116.15,118.75,18.31,112.57
9/28/2018,149.65,117.27,119.07,17.97,112.76
9/27/2018,150.3,117.58,119.03,17.79,112.05
9/26/2018,149.95,117.5,119.04,17.71,113.05
9/25/2018,150.53,116.68,118.84,17.79,113.65
9/24/2018,150.61,116.8,118.9,17.75,113.47
9/21/2018,151.16,117.1,118.94,17.49,113.49
9/20/2018,151.31,117.15,118.92,17.45,114.27
9/19/2018,150.15,116.61,118.89,17.45,113.88
9/18/2018,150.13,117.31,118.98,17.34,113.44
9/17/2018,149.33,118.55,119.22,17.18,113.61
9/14/2018,150.28,118.55,119.17,17.2,113.02
9/13/2018,150.16,119.12,119.33,17.31,113.76
9/12/2018,149.41,118.94,119.35,17.5,114.17
9/11/2018,149.4,118.66,119.29,17.38,113.22
9/10/2018,148.9,119.57,119.54,17.21,113.15
9/7/2018,148.58,119.13,119.52,17.15,113.23
9/6/2018,148.92,120.15,119.89,17.11,113.54
9/5/2018,149.37,119.71,119.74,17.21,113.32
9/4/2018,149.86,120.03,119.75,17.28,112.93
8/31/2018,150.07,120.995,120.07,17.38,113.51
8/30/2018,150.01,121.28,119.98,17.36,113.64
8/29/2018,150.63,121.02,119.8,17.39,114.2
8/28/2018,149.84,120.86,119.86,17.2,113.68
8/27/2018,149.75,121.59,120.03,17.27,114.59
8/24/2018,148.68,122.29,120.15,17.21,114.16
8/23/2018,147.76,122.05,120.17,17.08,112.2
8/22/2018,148.05,121.86,120.21,17.11,113.27
8/21/2018,148,121.38,120.09,16.87,113.02
8/20/2018,147.45,121.79,120.2,16.84,112.69
8/17/2018,147.17,120.98,119.95,16.81,112.13
8/16/2018,146.63,120.83,119.95,16.74,111.1
8/15/2018,145.49,120.84,119.99,16.61,111.19
8/14/2018,146.65,120.14,119.8,16.98,113.07
8/13/2018,145.69,120.41,119.9,16.95,112.96
8/10/2018,146.25,120.66,119.88,17.04,114.69
8/9/2018,147.17,119.79,119.57,17.04,114.74
8/8/2018,147.27,118.79,119.4,17.11,114.91
8/7/2018,147.41,118.67,119.33,17.32,114.59
8/6/2018,146.93,119.29,119.51,17.19,114.33
8/3/2018,146.27,119.22,119.47,17.16,114.92
8/2/2018,145.78,118.63,119.26,17.1,114.52
8/1/2018,144.92,118.46,119.11,17,115.14
7/31/2018,145.09,119.7,119.47,17.25,115.99
7/30/2018,144.27,119.05,119.41,17.35,115.65
7/27/2018,145.22,119.46,119.45,17.25,115.83
7/26/2018,146.39,119.26,119.33,17.32,115.77
7/25/2018,146.63,119.49,119.45,17.32,116.68
7/24/2018,145.39,119.68,119.51,17.09,116.04
7/23/2018,145.07,119.27,119.5,17,116
7/20/2018,144.84,120.76,119.79,16.94,116.56
7/19/2018,145.1,122.26,119.95,16.82,115.81
7/18/2018,145.45,121.49,119.72,16.84,116.31
7/17/2018,145.13,121.98,119.76,16.69,116.28
7/16/2018,144.47,122.21,119.8,16.67,117.55
7/13/2018,144.7,122.72,119.95,17.03,117.61
7/12/2018,144.61,122.41,119.8,17,118.13
7/11/2018,143.43,122.42,119.83,16.91,117.64
7/10/2018,144.46,121.95,119.69,17.52,118.93
